name,brand,servingSizeG,servingUnit,calories,proteinG,carbsG,fatG,fiberG,sodiumMg,sugarG,saturatedFatG,transFatG,cholesterolMg,potassiumMg,source
Vitamin Water Zero Squeezed Lemonade (20 fl. oz.),Qdoba,16.9,fl oz,0,0,4,0,0,0,0,0,0,0,0,qdoba
"Milk, Chocolate lowfat 1% (7 fl. oz.)/ CA Standards",Qdoba,7,fl oz,140,8,22,2,0,140,21,1,0,10,380,qdoba
"Milk, Chocolate lowfat 1% (8 fl. oz.)/ Fed Standards",Qdoba,8,fl oz,160,9,25,2.5,0,160,24,1,0,15,430,qdoba
"Milk, White lowfat 1% (7 fl. oz.)/ CA Standards",Qdoba,7,fl oz,90,7,11,2,0,95,11,1.5,0,10,320,qdoba
"Milk, White lowfat 1% (8 fl. oz.)/ Fed Standards",Qdoba,8,fl oz,100,8,12,2.5,0,105,12,1.5,0,10,370,qdoba
Double Chocolate Brownie (CANADA),Qdoba,72,g,320,4,38,17,3,100,27,9,0,55,144,qdoba
Double Chocolate Brownie (US),Qdoba,91,g,390,6,49,19,,150,36,4,0,,180,qdoba
Chocolate Chunk Cookie (US),Qdoba,57,g,250,3,33,12,1,300,20,6,0,20,70,qdoba
Chocolate Chunk Cookie (CANADA),Qdoba,57,g,250,3,34,11,1,180,21,5,0,10,0,qdoba
Churro bites (CANADA only),Qdoba,100,g,390,3,41,24,1,310,9,8,0,0,33,qdoba
Nutella (CANADA only),Qdoba,15,g,80,,9,5,,5,8,1.5,0,0,,qdoba
